posisi,deskripsi,level
data analyst,"['Power BI', 'Data Visualization', 'Problem Solving', 'Data Analysis', 'Statistics', 'Communication', 'Tableau', 'Python', 'Excel', 'SQL', 'Analytical Thinking']",entry
business analyst,"['Data Analysis', 'Analytical Thinking', 'Statistics']",entry
data analyst,"['Power BI', 'Excel', 'Machine Learning', 'Data Analysis', 'Business Intelligence', 'Pivot Table', 'Statistics', 'Tableau', 'SQL', 'Artificial Intelligence', 'Dashboard']",senior
data analyst,"['Business Intelligence', 'Dashboard', 'Reporting', 'Communication']",middle
business analyst,"['Machine Learning', 'Data Visualization', 'Statistical Analysis', 'Statistics', 'Tableau', 'Python', 'Excel', 'SQL', 'Problem Solving']",middle
data analyst,"['Microsoft Office', 'Communication', 'Reporting', 'Excel']",middle
data analyst,"['Power BI', 'Looker Studio', 'Machine Learning', 'Analytical Thinking', 'Critical Thinking', 'Data Visualization', 'Problem Solving', 'Data Analysis', 'Data Quality', 'Communication', 'Dashboard', 'Tableau', 'Reporting', 'Python', 'Azure', 'SQL', 'AWS', 'GCP', 'Statistics']",middle
business analyst,['Analytical Thinking'],middle
data analyst,"['Looker Studio', 'Data Science', 'Critical Thinking', 'Forecasting', 'Statistics', 'Tableau', 'Python', 'SQL', 'CRM', 'InVision', 'Virtualization', 'Dashboard', 'Problem Solving']",middle
business analyst,"['Power BI', 'Project Management', 'Problem Solving', 'Google Sheets', 'Communication', 'Dashboard', 'Tableau', 'Reporting', 'Excel', 'SQL', 'ERP', 'CRM', 'Business Intelligence', 'Analytical Thinking']",middle
data analyst,"['Excel', 'Microsoft Office', 'Data Quality', 'Reporting', 'Informatica']",unspecified
data analyst,"['Excel', 'Data Visualization', 'Data Analysis', 'Statistics', 'Communication', 'Dashboard', 'Analytical Thinking', 'Reporting']",middle
business analyst,"['LESS', 'Problem Solving']",middle
data analyst,"['Reporting', 'Virtualization', 'Dashboard']",unspecified
data analyst,"['Data Warehouse', 'Troubleshooting', 'PowerPoint', 'Reporting', 'Excel', 'Odoo', 'ERP']",senior
data analyst,"['MySQL', 'Power BI', 'ETL', 'Python', 'Pandas', 'Excel', 'jQuery']",senior
data analyst,"['Power BI', 'Machine Learning', 'Data Visualization', 'Data Science', 'Data Analysis', 'Attention to Detail', 'Scikit-learn', 'TensorFlow', 'Statistics', 'MongoDB', 'Tableau', 'Python', 'Excel', 'SQL', 'Artificial Intelligence', 'Active Directory', 'Dashboard', 'Virtualization']",senior
data analyst,['Excel'],middle
data analyst,"['Power BI', 'Data Visualization', 'Data Science', 'Statistics', 'Tableau', 'Python', 'Looker', 'SQL', 'Computer Vision', 'Dashboard', 'R', 'Rust', 'Talend']",middle
data analyst,"['Power BI', 'Excel', 'Data Analysis', 'Analytical Thinking', 'Project Management', 'Google Sheets', 'Confluence', 'Tableau', 'Trello', 'Notion', 'Jira', 'SQL', 'Business Intelligence', 'Problem Solving']",middle
data analyst,"['Data Visualization', 'Data Analysis', 'Reporting', 'Excel', 'SQL', 'Problem Solving', 'Dashboard', 'Talend']",senior
data analyst,"['Data Visualization', 'Data Analysis', 'Business Intelligence', 'Metabase', 'Excel', 'SQL', 'Active Directory', 'Google Sheets', 'Problem Solving', 'Dashboard', 'R', 'Virtualization']",entry
data analyst,"['Data Science', 'Troubleshooting', 'Statistics', 'Reporting']",unspecified
data analyst,"['Power BI', 'Data Visualization', 'Data Analysis', 'Statistical Analysis', 'Statistics', 'Reporting', 'Metabase', 'Tableau', 'SQL', 'dbt', 'Git', 'Problem Solving', 'Dashboard', 'Virtualization']",middle
data analyst,"['Power BI', 'Looker Studio', 'Data Visualization', 'Data Analysis', 'Data Quality', 'Dashboard', 'Tableau', 'Reporting', 'SQL', 'Active Directory', 'Communication', 'Informatica', 'Analytical Thinking']",middle
data analyst,"['Data Analysis', 'Reporting', 'InVision']",senior
business analyst,"['Communication', 'Teamwork', 'Agile']",entry
data analyst,"['Analytical Thinking', 'Microsoft Office', 'Data Analysis', 'Communication', 'Reporting', 'Statistics']",middle
data analyst,"['Power BI', 'Excel', 'Data Visualization', 'Problem Solving', 'Critical Thinking', 'Data Modeling', 'Data Analysis', 'Statistics', 'Communication', 'Analytical Thinking', 'Tableau', 'Reporting', 'Looker']",middle
data analyst,"['Data Science', 'Data Quality', 'Data Governance', 'Reporting']",middle
data analyst,"['Pivot Table', 'Statistics', 'Python', 'Excel', 'SQL', 'Problem Solving', 'Dashboard', 'R', 'ECharts']",middle
data analyst,"['Power BI', 'Excel', 'Data Visualization', 'Data Analysis', 'Pivot Table', 'Statistics', 'Tableau', 'Python', 'SQL', 'Virtualization']",middle
data analyst,"['Data Science', 'Statistics', 'Excel']",entry
business analyst,"['Excel', 'Analytical Thinking', 'Design Thinking', 'Problem Solving', 'PowerPoint', 'Communication', 'Agile']",middle
data analyst,"['Reporting', 'Excel']",senior
data analyst,"['Excel', 'Data Analysis', 'Critical Thinking', 'Microsoft Office', 'Microsoft Word', 'Dashboard', 'CRM', 'Statistics']",entry
data analyst,"['Power BI', 'Data Visualization', 'Statistics', 'Tableau', 'Excel', 'Problem Solving', 'Talend']",entry
data analyst,"['Looker Studio', 'Google Sheets', 'Microsoft Office', 'Google Workspace', 'Data Analysis', 'PowerPoint', 'Communication', 'Tableau', 'Reporting', 'Excel', 'Excel Macro', 'SQL', 'CRM', 'jQuery']",senior
data analyst,"['Data Visualization', 'Data Analysis', 'Statistics', 'Dashboard', 'Reporting', 'Excel']",entry
business analyst,"['Microsoft Office', 'Confluence', 'Jira', 'Communication', 'Analytical Thinking', 'Informatica']",middle
data analyst,"['Data Science', 'Data Analysis', 'Analytical Thinking', 'Attention to Detail', 'Google Sheets', 'Statistics', 'Excel', 'Computer Vision', 'Problem Solving']",entry
data analyst,"['Power BI', 'Data Science', 'Analytical Thinking', 'Statistics', 'Tableau', 'Reporting', 'Excel', 'SQL']",middle
data analyst,"['Power BI', 'Excel', 'Data Science', 'Data Analysis', 'Data Quality', 'Data Governance', 'Statistics', 'Teamwork', 'Tableau', 'Dashboard', 'Virtualization']",senior
data analyst,"['Data Analysis', 'Reporting', 'Dashboard']",middle
system analyst,"['Microservices', '.NET', 'Reporting', 'Oracle DB', 'API', 'SQL', 'Informatica']",middle
system analyst,"['Test Case', 'SDLC', 'Problem Solving']",middle
data analyst,"['Microsoft Office', 'Statistics', 'Communication', 'Dashboard', 'Reporting', 'Excel', 'Active Directory']",senior
data analyst,"['Data Analysis', 'Microsoft Office', 'PowerPoint', 'Excel', 'Google Workspace']",senior
data analyst,"['Power BI', 'Data Visualization', 'Data Analysis', 'Data Quality', 'Data Governance', 'Business Intelligence', 'UI/UX Design', 'Analytical Thinking', 'Statistics', 'Tableau', 'Python', 'Looker', 'SQL', 'Dashboard', 'Virtualization']",middle
business analyst,"['Power BI', 'Excel', 'Critical Thinking', 'PowerPoint', 'Communication', 'Tableau']",middle
business analyst,"['Problem Solving', 'Reporting', 'Excel', 'SAP', 'R']",senior
system analyst,"['Communication', '.NET', 'C++', 'Informatica', 'R']",middle
data analyst,"['Power BI', 'Data Visualization', 'Data Analysis', 'Pivot Table', 'Tableau', 'Python', 'Excel', 'SQL', 'Problem Solving', 'Dashboard']",middle
system analyst,"['Attention to Detail', 'Figma', 'SDLC', 'R']",senior
business analyst,"['Attention to Detail', 'Teamwork']",middle
business analyst,"['Analytical Thinking', 'Communication', 'Keras', 'SDLC', 'SQL', 'R', 'Informatica']",unspecified
system analyst,"['Microservices', 'Critical Thinking', 'Technical Support', 'Troubleshooting', 'REST API', 'SOAP', 'API', 'SQL', 'Problem Solving', 'R', 'Talend']",senior
business analyst,"['Confluence', 'Trello', 'Agile', 'Scrum', 'Jira', 'SDLC', 'jQuery']",entry
business analyst,"['Attention to Detail', 'Project Management', 'Test Case', 'Agile', 'Problem Solving']",middle
business analyst,"['Data Analysis', 'Analytical Thinking', 'Reporting', 'Excel', 'Problem Solving']",senior
business analyst,"['Test Case', 'SDLC', 'Problem Solving']",middle
business analyst,"['SDLC', 'Communication', 'Informatica']",middle
system analyst,"['Data Modeling', 'Figma', 'R']",entry
business analyst,"['Machine Learning', 'Data Science', 'Project Management', 'Problem Solving', 'Statistics', 'BigQuery', 'SQL', 'Teamwork']",middle
business analyst,['Reporting'],middle
data analyst,"['Looker Studio', 'Data Visualization', 'Critical Thinking', 'Statistics', 'Metabase', 'Tableau', 'Python', 'SQL', 'Dashboard', 'Virtualization']",middle
system analyst,"['PostgreSQL', 'MySQL', 'Data Warehouse', 'UI/UX Design', 'jQuery']",entry
business analyst,"['Communication', 'Machine Learning', 'Artificial Intelligence']",unspecified
business analyst,"['Power BI', 'Data Visualization', 'Data Analysis', 'Confluence', 'Tableau', 'Excel', 'Agile', 'Scrum', 'Jira', 'SDLC', 'SQL', 'SAP', 'Problem Solving', 'jQuery']",middle
system analyst,"['Microsoft Office', 'PowerPoint', 'Excel', 'SQL']",middle
system analyst,"['SQL Server', 'UI/UX Design', 'Agile', 'R']",entry
business analyst,"['SDLC', 'Agile', 'Communication', 'Scrum', 'Data Warehouse']",middle
business analyst,"['Data Warehouse', 'Data Quality', 'Attention to Detail', 'Reporting', 'AWS', 'SAP', 'ERP', 'Problem Solving']",senior
system analyst,"['PostgreSQL', 'MySQL', 'Confluence', 'Communication', 'Python', 'Oracle DB', 'Trello', 'Agile', 'Scrum', 'Java', '.NET', 'Jira', 'SDLC', 'PHP', 'API', 'SQL', 'jQuery']",middle
business analyst,"['Agile', 'Scrum', 'Objective-C', 'InVision']",middle
business analyst,"['Web Service', 'SDLC', 'SQL']",senior
business analyst,"['Microsoft Office', 'Project Management', 'Reporting', 'ERP']",middle
business analyst,"['UI/UX Design', 'Analytical Thinking', 'Communication', 'Adobe XD', 'Reporting', 'Python', 'Trello', 'Sketch', 'Agile', 'Scrum', 'Figma', 'Jira', 'API', 'SQL', 'Business Intelligence']",middle
business analyst,"['Reporting', 'ERP', 'CRM', 'R']",senior
business analyst,"['Excel', 'Data Visualization', 'Data Analysis', 'Business Intelligence', 'Artificial Intelligence', 'Project Management', 'Confluence', 'Tableau', 'Trello', 'Agile', 'Scrum', 'Jira', 'SQL', 'Notion', 'SDLC', 'Virtualization']",middle
business analyst,"['Laravel', 'Agile', 'API', 'Problem Solving']",middle
business analyst,"['Microsoft Office', 'Data Science', 'Problem Solving']",unspecified
business analyst,"['Excel', 'Postman', 'Agile', 'SDLC', 'SQL', 'R']",middle
business analyst,"['Critical Thinking', 'Problem Solving']",middle
business analyst,"['SQL Server', 'Power BI', 'Data Visualization', 'Excel', 'Teamwork', 'PostgreSQL', 'Oracle DB', 'SQL', 'Active Directory', 'Looker Studio', 'Tableau']",senior
business analyst,"['Communication', 'Critical Thinking', 'Analytical Thinking', 'Problem Solving', 'SDLC', 'C#']",middle
business analyst,"['Microsoft Office', 'Problem Solving', 'Talend']",senior
system analyst,"['Teamwork', 'Problem Solving', 'Objective-C']",entry
system analyst,"['UI/UX Design', 'Design Thinking', 'Agile', 'Scrum', 'SDLC', 'SQL', 'Communication', 'R', 'Informatica']",unspecified
business analyst,['SQL'],entry
business analyst,"['Excel', 'Financial Analysis', 'Analytical Thinking', 'Attention to Detail', 'Pivot Table', 'Reporting', 'Active Directory', 'Dashboard', 'jQuery']",middle
system analyst,"['Troubleshooting', 'SDLC', 'API', 'SQL', 'Problem Solving', 'Talend']",unspecified
business analyst,"['SDLC', 'Kanban', 'Agile', 'Scrum']",middle
business analyst,"['Communication', 'Microsoft Office']",entry
business analyst,['Excel'],senior
business analyst,"['Project Management', 'Reporting', 'Agile', 'SDLC']",middle
data analyst,"['Excel', 'Microsoft Office', 'Reporting']",entry
data analyst,"['Microsoft Office', 'Problem Solving', 'Reporting', 'Excel']",middle
business analyst,"['Reporting', 'Excel', 'SQL', 'ERP']",middle
data analyst,"['Power BI', 'Data Analysis', 'Attention to Detail', 'Statistics', 'Tableau', 'Python', 'Looker', 'Excel', 'SQL', 'Computer Vision', 'Problem Solving', 'Dashboard', 'Virtualization']",middle
data analyst,"['Communication', 'Dashboard', 'Reporting', 'CRM']",middle
data analyst,"['Power BI', 'Data Visualization', 'Tableau', 'Python', 'Looker', 'Excel', 'SQL', 'Problem Solving', 'Dashboard', 'R', 'Statistics']",entry
data analyst,"['Power BI', 'Excel', 'Data Visualization', 'Pivot Table', 'Reporting', 'Tableau', 'jQuery', 'Dashboard']",entry
data analyst,"['Excel', 'Reporting', 'Statistics']",entry
data analyst,"['PostgreSQL', 'MySQL', 'Power BI', 'Looker Studio', 'Excel', 'Data Analysis', 'ETL', 'BigQuery', 'GCP', 'Matplotlib', 'Statistics', 'Reporting', 'Snowflake', 'Tableau', 'Seaborn', 'ggplot2', 'Apache Airflow', 'Python', 'Talend', 'Pandas', 'NumPy', 'Azure', 'SQL', 'dbt', 'AWS', 'Dashboard', 'Virtualization', 'jQuery', 'Pivot Table']",middle
data analyst,"['Power BI', 'Excel', 'Data Visualization', 'Critical Thinking', 'Forecasting', 'Statistics', 'Tableau', 'Reporting', 'Looker', 'Analytical Thinking', 'Informatica']",entry
data analyst,"['Excel', 'Problem Solving', 'Communication', 'Reporting', 'Statistics']",middle
data analyst,"['Power BI', 'Data Warehouse', 'Data Governance', 'Business Intelligence', 'ETL', 'Attention to Detail', 'Reporting', 'Tableau', 'Python', 'SQL', 'SAP', 'Dashboard', 'R', 'Troubleshooting', 'jQuery']",middle
data analyst,"['Power BI', 'Data Visualization', 'Data Warehouse', 'Data Analysis', 'Data Modeling', 'ETL', 'Attention to Detail', 'Statistics', 'Reporting', 'Tableau', 'SQL', 'Active Directory', 'Problem Solving', 'Dashboard']",middle
data analyst,"['Power BI', 'Data Visualization', 'Data Analysis', 'Forecasting', 'Regression', 'Snowflake', 'BigQuery', 'Tableau', 'Python', 'Looker', 'SQL', 'dbt', 'GCP', 'Dashboard']",middle
data analyst,"['Power BI', 'Looker Studio', 'Business Intelligence', 'Data Visualization', 'Problem Solving', 'Data Analysis', 'Data Quality', 'Dashboard', 'Tableau', 'Reporting', 'Python', 'Excel', 'SQL', 'Active Directory', 'Statistics', 'Communication', 'Analytical Thinking']",entry
data analyst,['Objective-C'],senior
data analyst,"['PostgreSQL', 'MySQL', 'Power BI', 'Looker Studio', 'Excel', 'Statistical Analysis', 'Statistics', 'Dashboard', 'Tableau', 'Reporting', 'Python', 'Oracle DB']",middle
data analyst,"['Power BI', 'Data Visualization', 'Data Analysis', 'Forecasting', 'Regression', 'Snowflake', 'BigQuery', 'Tableau', 'Python', 'Looker', 'SQL', 'dbt', 'GCP', 'Dashboard', 'Talend']",middle
data analyst,"['MySQL', 'Google Sheets', 'Statistical Analysis', 'Excel', 'Forecasting', 'Statistics', 'Dashboard', 'Python', 'CRM', 'Communication', 'Informatica']",senior
data analyst,"['Data Analysis', 'Attention to Detail', 'Critical Thinking', 'Statistics', 'Excel', 'Problem Solving', 'Dashboard']",entry
data analyst,"['Power BI', 'Business Intelligence', 'Statistics', 'Metabase', 'Tableau', 'SQL', 'Problem Solving', 'Dashboard', 'Virtualization']",middle
data analyst,"['Microsoft Office', 'Data Quality', 'Communication', 'Dashboard', 'Reporting', 'Excel', 'Analytical Thinking']",middle
data analyst,"['Excel', 'Data Analysis', 'Dashboard', 'Reporting', 'Statistics', 'Communication']",middle
business analyst,"['Project Management', 'Communication', 'Analytical Thinking']",senior
business analyst,"['Power BI', 'Data Analysis', 'Analytical Thinking', 'Attention to Detail', 'Google Workspace', 'Tableau', 'Python', 'Google Sheets', 'SQL', 'Problem Solving', 'Dashboard', 'Virtualization']",senior
data analyst,"['Analytical Thinking', 'Problem Solving', 'Dashboard', 'Reporting', 'Excel', 'CRM']",middle
data analyst,"['Excel', 'Data Visualization', 'Data Analysis', 'Objective-C']",senior
business analyst,"['Excel', 'Data Analysis', 'Reporting', 'Communication']",middle
data analyst,"['Power BI', 'QlikView', 'Tableau', 'SQL', 'Business Intelligence', 'jQuery', 'Statistics', 'R']",entry
data analyst,"['Power BI', 'Analytical Thinking', 'Communication', 'Tableau', 'Reporting', 'Python', 'Looker', 'Excel', 'SQL', 'Artificial Intelligence', 'Business Intelligence']",middle
data analyst,"['PostgreSQL', 'MySQL', 'SQL Server', 'Excel', 'Machine Learning', 'Data Visualization', 'Data Analysis', 'Critical Thinking', 'Google Sheets', 'Java', 'SQL', 'Problem Solving', 'R']",senior
data analyst,"['Power BI', 'Excel', 'Data Visualization', 'Data Warehouse', 'Data Pipeline', 'Google Sheets', 'Tableau', 'Apache Airflow', 'Python', 'Looker', 'SQL', 'dbt', 'R', 'Dashboard']",middle
data analyst,['Excel'],unspecified
business analyst,"['Power BI', 'Data Analysis', 'Project Management', 'Dashboard', 'Tableau', 'Excel', 'Agile', 'Scrum', 'SQL']",entry
data analyst,"['Excel', 'Analytical Thinking', 'Reporting', 'KPI']",unspecified
data analyst,"['Excel', 'Data Cleaning', 'Critical Thinking', 'Data Visualization', 'Problem Solving', 'Statistics', 'Tableau', 'Communication', 'jQuery', 'Informatica']",unspecified
business analyst,"['Power BI', 'PowerPoint', 'Looker', 'Excel', 'CRM']",entry
data analyst,"['Power BI', 'Data Visualization', 'Data Analysis', 'Excel', 'Reporting', 'Tableau', 'SQL', 'Statistics', 'Virtualization', 'Dashboard', 'Problem Solving', 'InVision']",senior
data analyst,"['Looker Studio', 'Statistics', 'Excel', 'SQL', 'InVision', 'Google Workspace']",entry
data analyst,"['Statistics', 'Excel']",entry
business analyst,"['UI/UX Design', 'Communication', 'Analytical Thinking']",middle
data analyst,['Statistics'],entry
data analyst,"['Data Visualization', 'Excel', 'Dashboard', 'Reporting']",unspecified
system analyst,"['PostgreSQL', 'MySQL', 'SQL Server', 'Problem Solving', 'Project Management', 'Communication', 'Postman', 'SDLC', 'Odoo', 'API', 'jQuery', 'Analytical Thinking', 'Informatica']",middle
data analyst,"['Machine Learning', 'Statistics', 'Dashboard', 'Python', 'SQL', 'R', 'Virtualization']",entry
data analyst,"['Data Quality', 'ETL', 'Attention to Detail', 'Technical Support', 'Reporting', 'SQL', 'Dashboard', 'Troubleshooting']",senior
data analyst,"['Power BI', 'Looker Studio', 'Data Visualization', 'Data Science', 'Data Quality', 'Analytical Thinking', 'Attention to Detail', 'Statistics', 'Tableau', 'Excel', 'SQL', 'Problem Solving', 'Dashboard', 'Virtualization']",senior
data analyst,"['Project Management', 'Problem Solving', 'SQL']",middle
data analyst,"['Power BI', 'Data Visualization', 'Data Analysis', 'Matplotlib', 'Analytical Thinking', 'Tableau', 'Reporting', 'Python', 'Excel', 'SQL', 'Statistics']",entry
data analyst,"['Data Visualization', 'Excel', 'Google Sheets']",unspecified
data analyst,"['Power BI', 'Excel', 'BigQuery', 'Data Analysis', 'Statistics', 'Communication', 'Dashboard', 'Tableau', 'Reporting', 'Python', 'Excel Macro', 'VBA', 'Business Intelligence']",entry
business analyst,"['Microsoft Office', 'Critical Thinking', 'Communication', 'Reporting', 'Odoo', 'SAP', 'ERP', 'Analytical Thinking']",entry
business analyst,"['Project Management', 'Problem Solving']",middle
data analyst,"['Data Science', 'Problem Solving', 'Data Visualization', 'Data Analysis', 'Statistics', 'Communication', 'Dashboard', 'Reporting']",middle
data analyst,"['Power BI', 'Data Science', 'Business Intelligence', 'Project Management', 'Teamwork', 'Statistics', 'Tableau', 'Python', 'SQL', 'Problem Solving', 'Dashboard', 'C#']",senior
data analyst,"['Data Science', 'UI/UX Design', 'Troubleshooting', 'Statistics', 'Reporting', 'SQL', 'R']",middle
data analyst,"['Power BI', 'Looker Studio', 'Data Analysis', 'Dashboard', 'Tableau', 'Reporting', 'Python', 'Excel', 'SQL', 'Statistics', 'Analytical Thinking', 'Google Sheets']",entry
business analyst,"['Financial Analysis', 'Microsoft Office', 'PowerPoint', 'Reporting', 'Excel', 'Communication', 'Analytical Thinking']",entry
business analyst,"['Data Science', 'Financial Modeling', 'Project Management', 'Problem Solving', 'Trello', 'Notion', 'Jira', 'Talend', 'InVision']",middle
data analyst,"['Power BI', 'Looker Studio', 'Google Sheets', 'Dashboard', 'Reporting', 'Tableau', 'Excel', 'SQL', 'Business Intelligence', 'Statistics', 'Analytical Thinking']",middle
business analyst,"['Power BI', 'Excel', 'Data Visualization', 'Tableau', 'SQL', 'Problem Solving']",middle
data analyst,"['JavaScript', 'Communication', 'Python']",entry
business analyst,[],middle
business analyst,"['Reporting', 'InVision', 'Talend', 'Objective-C']",senior
business analyst,"['Power BI', 'Excel', 'Data Quality', 'Attention to Detail', 'Project Management', 'Statistics', 'Tableau', 'Looker', 'SQL', 'Business Intelligence', 'Active Directory', 'Dashboard']",middle
data analyst,"['Google Sheets', 'Excel']",middle
data analyst,"['Excel', 'Data Visualization', 'Critical Thinking', 'Data Analysis', 'Communication', 'Dashboard', 'Reporting']",entry
data analyst,"['Data Science', 'Critical Thinking', 'Generative AI', 'Teamwork', 'Excel', 'Apache Spark', 'Artificial Intelligence', 'Active Directory', 'R', 'Dashboard']",senior
system analyst,"['Business Intelligence', 'Analytical Thinking', 'Reporting', 'Agile', 'Scrum', 'PHP', 'API', 'SQL', 'ERP']",entry
business analyst,"['Tableau', 'Excel', 'SQL', 'Problem Solving']",middle
business analyst,"['Automated Testing', 'Java', 'InVision']",middle
data analyst,"['Looker Studio', 'Data Warehouse', 'Data Analysis', 'ETL', 'R', 'Forecasting', 'Statistics', 'Reporting', 'Python', 'SQL', 'Business Intelligence', 'Dashboard', 'Excel']",middle
business analyst,"['Power BI', 'Looker Studio', 'Excel', 'Business Intelligence', 'Problem Solving', 'Looker', 'Rust']",middle
business analyst,"['Power BI', 'Problem Solving', 'Dashboard', 'Reporting', 'SQL', 'Active Directory', 'Statistics', 'jQuery']",senior
business analyst,"['Data Analysis', 'Attention to Detail', 'Troubleshooting']",middle
business analyst,"['Microsoft Office', 'Confluence', 'PowerPoint', 'Excel', 'Jira', 'Google Workspace']",middle
business analyst,"['SQL Server', 'Oracle DB', 'SQL', 'R']",middle
business analyst,"['Problem Solving', 'IT Support', 'Wireframing', 'Reporting', 'SDLC', 'SQL', 'Communication', 'Informatica', 'Analytical Thinking']",middle
data analyst,"['Power BI', 'Machine Learning', 'Computer Vision', 'Data Visualization', 'Data Science', 'Data Analysis', 'Data Wrangling', 'Data Pipeline', 'ETL', 'Analytical Thinking', 'Problem Solving', 'Scikit-learn', 'TensorFlow', 'Kubernetes', 'Communication', 'Dashboard', 'Tableau', 'Reporting', 'PyTorch', 'Python', 'Docker', 'Excel', 'MLOps', 'Azure', 'API', 'SQL', 'NLP', 'LLM', 'AWS', 'GCP', 'Artificial Intelligence', 'Statistics', 'Informatica']",middle
business analyst,"['Troubleshooting', 'Teamwork']",entry
system analyst,"['Figma', 'Informatica']",entry
system analyst,"['Troubleshooting', 'SDLC', 'R']",senior
business analyst,"['Artificial Intelligence', 'Attention to Detail', 'Project Management', 'Teamwork', 'PowerPoint', 'Excel', 'ITIL', 'SAP', 'DevOps']",senior
business analyst,"['Forecasting', 'Informatica']",unspecified
business analyst,"['Analytical Thinking', 'Teamwork', 'PowerPoint', 'Excel', 'Agile', 'Scrum']",entry
business analyst,"['Reporting', 'Odoo', 'Troubleshooting']",middle
system analyst,"['Attention to Detail', 'JavaScript', 'HTML', 'CSS', 'Problem Solving', 'Troubleshooting', 'Objective-C']",senior
system analyst,"['PostgreSQL', 'MySQL', 'SQL Server', 'Microservices', 'Integration Testing', 'Communication', 'React', 'Python', 'Agile', 'PHP', 'IBM DB2', 'ERP', 'Computer Vision', 'jQuery']",senior
system analyst,"['Power BI', 'Data Visualization', 'Data Science', 'Data Analysis', 'Data Quality', 'ETL', 'Technical Support', 'Data Warehouse', 'Reporting', 'Python', 'SQL', 'SAP', 'Problem Solving', 'Dashboard', 'R', 'Troubleshooting', 'Virtualization']",middle
business analyst,"['Integration Testing', 'Communication', 'Scrum']",middle
business analyst,"['Analytical Thinking', 'Linux', 'Java', 'SQL', 'Problem Solving']",unspecified
business analyst,"['Project Management', 'Reporting', 'Trello', 'Jira', 'SQL']",senior
system analyst,['Problem Solving'],senior
business analyst,"['SDLC', 'Computer Vision', 'Communication', 'Analytical Thinking']",middle
business analyst,[],senior
system analyst,"['PostgreSQL', 'MySQL', 'Microservices', 'UI/UX Design', 'Confluence', 'REST API', 'Grafana', 'Oracle DB', 'Splunk', 'Notion', 'Agile', 'Redis', 'Kafka', 'OAuth', 'SOAP', 'Jira', 'LDAP', 'API', 'Business Intelligence', 'Objective-C']",middle
system analyst,"['Problem Solving', 'Python', 'Kanban', 'Agile', 'Scrum', 'Odoo', 'ERP', 'Communication']",middle
system analyst,"['Analytical Thinking', 'Problem Solving']",middle
system analyst,"['Problem Solving', 'Python', 'Kanban', 'Agile', 'Scrum', 'Odoo', 'ERP', 'Communication']",middle
system analyst,"['Agile', 'Scrum']",senior
system analyst,"['Analytical Thinking', 'Problem Solving', 'Communication', 'Reporting']",senior
business analyst,"['Integration Testing', 'Project Management', 'Excel', 'Reporting', 'Agile', 'Odoo', 'ERP', 'Problem Solving', 'Notion']",entry
business analyst,"['SQL Server', 'Microsoft Office', 'Excel', 'Java', '.NET', 'SDLC', 'PHP', 'ERP', 'R', 'Google Sheets']",entry
business analyst,['R'],middle
business analyst,"['UI/UX Design', 'Design Thinking', 'Problem Solving', 'Agile', 'Scrum', 'SDLC', 'Communication', 'R', 'Analytical Thinking', 'Informatica']",middle
business analyst,"['Microsoft Office', 'Confluence', 'PowerPoint', 'Excel', 'Jira', 'Google Workspace']",senior
